Week 2397: SIRGAS sol aligned to IGb20 (igs25P2397)              05-FEB-26 12:35
--------------------------------------------------------------------------------
LOCAL GEODETIC DATUM: IGb20             EPOCH: 2025-12-17 12:00:00

NUM  STATION NAME           X (M)          Y (M)          Z (M)     FLAG

221  CKIS 50213M003   -5583182.86321 -2054142.40330 -2292166.02013    W
229  CMPN 41792M001    1846709.51079 -5269194.19982 -3077807.12247    A
232  CN19 80101M001    2124203.59463 -5851608.56810  1383532.66882    A
238  CNEC 42057M001    1096161.09026 -6282802.60467   -77175.95664    A
242  COEC 42023M001    1349943.47483 -6236876.46809    79222.46859    A
243  COL2 40524M001   -1427005.71746 -5852976.05831  2089088.84441    A
246  CORD 41511M001    2345503.86973 -4910842.96193 -3316365.17727    A
247  CORU 48087M002    3229969.94440 -5095437.91321 -2063429.60584    A
252  CPVG 39601M001    5626883.44936 -2380932.22506  1824484.07164    A
256  CRAT 41619M001    4888826.01301 -4017957.54595  -798308.69292    A
260  CRLP 40612M003     643206.70834 -6250876.38070  1095086.23185    A
261  CRO1 43201M001    2607771.37397 -5488076.50490  1932768.03216    W
263  CS01 42235M001    1921528.28026 -5900745.43191 -1482655.41018    A
264  CSLO 41540M001    1918784.58699 -5078509.52976 -3341569.17856    A
266  CUCU 41904S001    1901228.75549 -6025504.23850   870700.75483    A
267  CUEC 42009M001    1215704.30068 -6255712.20020  -318818.82294    A
268  CUIB 41603M001    3430711.39436 -5099641.69363 -1699432.64008    A
274  CXEC 42038M001    1259454.41200 -6254555.56516  -103452.49502    A
275  CYNE 42807M001    3880932.76181 -5033206.17607   532565.82233    A
281  DARI 41305M001    1294491.53350 -6171665.83825   953832.40147    A
284  DAVI 41302M001     830824.10904 -6254882.35408   928363.24012    A
292  DORA 41915S001    1679425.27074 -6123536.81328   602182.54516    A
293  DPEC 42051M001    1073270.08371 -6280002.53330  -299987.00884    A
299  DUBO 40137M001    -417604.06459 -4064529.85218  4881432.11787    W
304  EACH 48041M001    4029476.22383 -4246137.11979 -2526018.39362    A
305  EBPT 44469M001    1658654.25086 -6101280.08093   837070.10458    A
309  ECEC 42027M001    1167629.75831 -6270565.71670   -30060.15608    A
311  EESC 41694M001    3967006.97930 -4390247.51577 -2375229.64311    A
315  EMIB 41805M002    2284271.61125 -5677064.50789 -1804237.83445    A
317  EPEC 42039M001    1277936.90917 -6251278.05277   -34832.33372    A
318  EREC 42037M001    1255116.44715 -6253531.74173  -184844.41241    A
324  ESEC 42011M002    1149084.73716 -6273040.39048    98658.60264    A
328  ESQU 41533M001    1498229.04617 -4432287.21488 -4321164.11349    A
331  EUR2 40153M002      78804.31103 -1109590.60641  6259357.15383    A
334  FAIR 40408M001   -2281622.09301 -1453595.98431  5756961.63872    A
335  FALK 80602M001    2106811.43626 -3355170.80616 -4981786.19472    A
338  FLIN 40135M001    -766174.95546 -3611375.38678  5184056.18750    A
342  FOEC 42041M001    1435880.23010 -6214490.31284   -51232.80956    A
344  FQNE 41936S001    1779063.80167 -6097672.84223   603896.98664    A
352  GARA 41945M001    1819791.59323 -6088854.55833   561298.50946    A
358  GLPS 42005M002     -33800.59854 -6377516.51335   -82154.17661    W
361  GODE 40451M123    1130773.43531 -4831253.57722  3994200.46742    W
364  GOGY 48095M001    3989705.20748 -4631044.71856 -1817529.71256    A
365  GOJA 41654M001    3761502.43053 -4767353.15262 -1946325.68342    A
366  GOL2 40405S031   -2353614.59645 -4641385.22049  3676976.34489    A
367  GOLD 40405S031   -2353614.59483 -4641385.21573  3676976.34261    A
372  GOUR 48065M001    4040466.69072 -4671618.46116 -1587717.70285    A
373  GQEC 42007M002    1120058.14160 -6274444.42887  -239602.00887    A
380  GUAI 48110M001    3403044.28461 -4729284.93523 -2586893.34420    A
