Week 2397: SIRGAS sol aligned to IGb20 (igs25P2397)              05-FEB-26 12:35
--------------------------------------------------------------------------------
LOCAL GEODETIC DATUM: IGb20             EPOCH: 2025-12-17 12:00:00

NUM  STATION NAME           X (M)          Y (M)          Z (M)     FLAG

 28  TEJA 41791M001    1413829.59200 -4698485.45081 -4061440.05449    A
 29  TERO 41531M001    2452644.49189 -5086396.54913 -2955957.04958    A
 31  TGTA 47006M001    2149776.26347 -5206985.24403 -2983664.28580    A
 34  THTI 92201M009   -5246416.39769 -3077258.94941 -1913841.50699    W
 35  THU2 43001M002     538093.08790 -1389088.15089  6180979.39138    W
 45  TMG2 49433M002   -1283434.94078 -4713071.98450  4090104.93278    A
 49  TNEC 42026M001    1345987.95054 -6234088.56441  -109474.66027    A
 52  TOGU 41661M001    4093503.24986 -4717194.97448 -1290037.54997    A
 53  TOL2 40515M001   -1009229.30656 -5939511.40866  2094889.16893    A
 57  TOSF 47005M001    2634856.44101 -4907858.07215 -3096411.27435    A
 59  TPEC 42049M001    1593945.87395 -6175355.99548   -87328.82065    A
 60  TPZA 41820M001    2442364.83883 -5416784.40322 -2318764.60569    A
 62  TRDD 41821M001    2617088.07970 -5584468.20710 -1621662.11408    A
 70  TUCU 41520S001    2386117.21911 -5171223.29968 -2862948.89601    A
 72  TUMA 41929S001    1245830.28621 -6252040.20697   201464.36405    A
 73  TUNA 41930S001    1818373.17753 -6085596.86863   610965.25618    A
 79  UBA1 41627M002    4129567.79714 -4146743.13951 -2527616.23566    A
 86  UCLU 40140M001   -2440669.19189 -3416437.12826  4785136.77530    A
 87  UCOR 41502M001    2371430.02758 -4904120.12237 -3307377.28088    A
 88  UCRI 40614M001     651221.19824 -6250477.07575  1093509.38423    A
 90  UFPR 41610M002    3763751.69329 -4365113.98304 -2724404.42498    W
 91  UGTO 40528M001   -1164730.32035 -5843944.70183  2272414.17156    A
 97  UNPA 41550M001    1407713.01372 -3707517.33879 -4978623.09666    A
 98  UNRO 41525M001    2627448.19404 -4668383.32450 -3450213.32441    A
 99  UNSA 41514M001    2412830.50922 -5271936.80522 -2652208.81359    W
100  UNSJ 41527M001    1987485.06236 -5065493.48726 -3317557.29824    A
104  USCL 41768M001    1762489.96965 -5027632.77168 -3496009.19998    A
106  USMX 40537M001   -1865330.63410 -5215100.14269  3153548.13201    A
112  UTQI 49508M002   -1880400.06730  -813136.67643  6019921.43945    A
113  UYAR 42312M001    3039390.90714 -4590396.51924 -3209894.75256    A
114  UYBA 66017M001    1541247.90723 -2555204.89717 -5618168.80185    A
115  UYBU 42325M001    2954455.92475 -4655930.28492 -3194730.12081    A
116  UYCL 42309M001    3153354.63311 -4374491.08244 -3394828.68748    A
117  UYCO 42310M001    2802526.97984 -4456438.13064 -3588935.16574    A
118  UYDU 42305M001    3014166.62358 -4402480.72970 -3483378.23416    A
119  UYFD 42313M001    2942131.59079 -4393140.12814 -3555382.37687    A
120  UYFS 42311M001    2908045.63082 -4458703.86444 -3501903.37958    A
122  UYLA 42314M001    3004414.91106 -4330651.07387 -3579819.96876    A
123  UYLM 42328M001    2943772.74649 -4344521.71945 -3612849.80547    A
124  UYLP 42306M001    3076651.74541 -4256808.94025 -3606524.57059    A
125  UYMA 42324M001    2998612.85858 -4296176.92027 -3625428.63353    A
126  UYMO 42301M001    2909133.02396 -4355451.45151 -3627801.01335    A
127  UYNI 41804M001    2353861.94160 -5498849.90351 -2217394.02838    A
128  UYPA 42304M001    2854570.70433 -4580211.08801 -3387814.98346    A
129  UYPT 42321M001    2961239.27768 -4475610.48963 -3435436.90004    A
130  UYRB 42326M001    3206200.50685 -4317892.52374 -3417370.31646    A
131  UYRI 42308M001    3098198.78790 -4517886.09691 -3256111.06832    A
132  UYRO 42303M001    3144469.68506 -4258022.22738 -3546571.77748    A
134  UYSA 42315M001    2891578.70007 -4620273.20216 -3301519.08507    A
135  UYSC 42327M001    3077080.62844 -4388311.61263 -3446606.78928    A
136  UYSG 42316M001    3019247.99394 -4449969.64822 -3418356.71853    A
137  UYSJ 42320M001    2894374.14080 -4407788.28225 -3576191.72632    A
138  UYSO 42307M001    2828006.85385 -4528151.60802 -3478267.74971    A
139  UYTA 42302M001    3042868.21988 -4500645.60656 -3330675.20200    A
140  UYTD 42317M001    2939805.84270 -4618928.52415 -3260824.70276    A
141  UYTT 42318M001    3109972.14648 -4340819.17889 -3476409.69555    A
149  VBCA 41512M001    2319240.79425 -4411744.12332 -3966483.91111    A
152  VICO 41613M001    4373283.32615 -4059639.19856 -2246959.42907    A
155  VIL2 40527M001    -310300.79749 -6060323.99479  1957383.60098    A
159  VNDP 40420M007   -2678090.75872 -4525436.66748  3597432.11424    A
170  WES2 40440S020    1492232.92045 -4458089.52319  4296046.11917    A
174  WHIT 40136M001   -2218338.30323 -2201205.12626  5543057.44498    W
176  WILL 40134M001   -2084258.51219 -3313873.01456  5019852.92678    W
177  WIND 31101M001    5633708.80405  1732018.15415 -2433985.40615    W
196  YELL 40127M003   -1224453.10167 -2689216.24087  5633638.29340    W
197  YEMA 41569M001    2799305.08388 -5099611.06475 -2606734.03396    A
204  ZARZ 41950M001    1531451.98568 -6173322.89949   485754.08958    A

