Column 1	Latitude [dec degrees]
Column 2	Longitude [dec degrees]
Column 3	Velocity in N-S direction [m/a]
Column 4	Velocity in W-E direction [m/a]
Column 5	Uncertainty of velocity in N-S direction [m/a]
Column 6	Uncertainty of velocity in W-E direction [m/a]

7.0	-73.0	0.0150	0.0035	0.0006	0.0009
7.0	-72.0	0.0148	0.0031	0.0002	0.0003
7.0	-71.0	0.0122	-0.0028	0.0012	0.0025
7.0	-70.0	0.0123	-0.0025	0.0017	0.0036
7.0	-69.0	0.0116	-0.0043	0.0001	0.0001
7.0	-68.0	0.0117	-0.0043	0.0001	0.0001
7.0	-67.0	0.0119	-0.0032	0.0003	0.0019
7.0	-66.0	0.0130	-0.0014	0.0012	0.0021
7.0	-65.0	0.0131	-0.0013	0.0012	0.0021
7.0	-64.0	0.0132	-0.0012	0.0012	0.0021
7.0	-63.0	0.0131	-0.0020	0.0011	0.0023
7.0	-62.0	0.0135	-0.0023	0.0009	0.0016
7.0	-61.0	0.0134	-0.0027	0.0009	0.0016
7.0	-60.0	0.0127	-0.0045	0.0002	0.0001
7.0	-59.0	0.0128	-0.0044	0.0002	0.0001
7.0	-58.0	0.0129	-0.0044	0.0002	0.0001
6.0	-78.0	0.0145	0.0064	0.0013	0.0044
6.0	-77.0	0.0154	0.0038	0.0003	0.0002
6.0	-76.0	0.0154	0.0039	0.0003	0.0002
6.0	-75.0	0.0155	0.0041	0.0004	0.0011
6.0	-74.0	0.0152	0.0029	0.0007	0.0021
6.0	-73.0	0.0136	-0.0010	0.0012	0.0025
6.0	-72.0	0.0140	0.0001	0.0013	0.0034
6.0	-71.0	0.0128	-0.0020	0.0016	0.0038
6.0	-70.0	0.0116	-0.0045	0.0003	0.0004
6.0	-69.0	0.0116	-0.0042	0.0001	0.0001
6.0	-68.0	0.0117	-0.0042	0.0001	0.0001
6.0	-67.0	0.0119	-0.0032	0.0003	0.0019
6.0	-66.0	0.0125	-0.0024	0.0011	0.0022
6.0	-65.0	0.0131	-0.0012	0.0012	0.0021
6.0	-64.0	0.0131	-0.0028	0.0013	0.0022
6.0	-63.0	0.0129	-0.0025	0.0010	0.0023
6.0	-62.0	0.0133	-0.0027	0.0009	0.0016
6.0	-61.0	0.0132	-0.0030	0.0008	0.0016
6.0	-60.0	0.0128	-0.0044	0.0002	0.0001
6.0	-59.0	0.0128	-0.0044	0.0002	0.0001
6.0	-58.0	0.0129	-0.0044	0.0002	0.0001
6.0	-57.0	0.0126	-0.0043	0.0001	0.0001
6.0	-56.0	0.0130	-0.0043	0.0002	0.0001
6.0	-55.0	0.0131	-0.0043	0.0002	0.0001
6.0	-54.0	0.0132	-0.0045	0.0001	0.0003
5.0	-78.0	0.0151	0.0046	0.0008	0.0008
5.0	-77.0	0.0152	0.0046	0.0008	0.0008
5.0	-76.0	0.0152	0.0030	0.0006	0.0012
5.0	-75.0	0.0151	0.0027	0.0002	0.0008
5.0	-74.0	0.0150	0.0002	0.0009	0.0015
5.0	-73.0	0.0134	-0.0012	0.0012	0.0024
5.0	-72.0	0.0132	-0.0021	0.0012	0.0026
5.0	-71.0	0.0129	-0.0023	0.0013	0.0025
5.0	-70.0	0.0130	-0.0022	0.0013	0.0025
5.0	-69.0	0.0117	-0.0044	0.0003	0.0004
5.0	-68.0	0.0118	-0.0043	0.0003	0.0004
5.0	-67.0	0.0118	-0.0041	0.0001	0.0001
5.0	-66.0	0.0118	-0.0043	0.0000	0.0001
5.0	-65.0	0.0130	-0.0027	0.0013	0.0022
5.0	-64.0	0.0128	-0.0031	0.0012	0.0021
5.0	-63.0	0.0131	-0.0026	0.0013	0.0021
5.0	-62.0	0.0129	-0.0031	0.0012	0.0019
5.0	-61.0	0.0127	-0.0044	0.0002	0.0001
5.0	-60.0	0.0128	-0.0044	0.0002	0.0001
5.0	-59.0	0.0128	-0.0043	0.0002	0.0001
5.0	-58.0	0.0129	-0.0043	0.0002	0.0001
5.0	-57.0	0.0129	-0.0043	0.0002	0.0001
5.0	-56.0	0.0130	-0.0043	0.0002	0.0001
5.0	-55.0	0.0131	-0.0044	0.0002	0.0003
5.0	-54.0	0.0132	-0.0046	0.0001	0.0004
5.0	-53.0	0.0131	-0.0049	0.0001	0.0004
5.0	-52.0	0.0132	-0.0048	0.0001	0.0004
4.0	-78.0	0.0140	0.0043	0.0011	0.0010
4.0	-77.0	0.0142	0.0046	0.0007	0.0010
4.0	-76.0	0.0147	0.0030	0.0008	0.0011
4.0	-75.0	0.0148	0.0013	0.0000	0.0009
4.0	-74.0	0.0146	-0.0013	0.0019	0.0014
4.0	-73.0	0.0131	-0.0015	0.0016	0.0017
4.0	-72.0	0.0121	-0.0032	0.0009	0.0018
4.0	-71.0	0.0128	-0.0021	0.0014	0.0025
4.0	-70.0	0.0126	-0.0024	0.0014	0.0024
4.0	-69.0	0.0124	-0.0032	0.0008	0.0019
4.0	-68.0	0.0119	-0.0044	0.0002	0.0003
4.0	-67.0	0.0118	-0.0042	0.0000	0.0001
4.0	-66.0	0.0120	-0.0043	0.0002	0.0001
4.0	-65.0	0.0120	-0.0041	0.0002	0.0004
4.0	-64.0	0.0121	-0.0041	0.0002	0.0004
4.0	-63.0	0.0122	-0.0040	0.0002	0.0004
4.0	-62.0	0.0123	-0.0040	0.0002	0.0004
4.0	-61.0	0.0124	-0.0040	0.0002	0.0004
4.0	-60.0	0.0127	-0.0042	0.0002	0.0000
4.0	-59.0	0.0127	-0.0042	0.0002	0.0000
4.0	-58.0	0.0129	-0.0043	0.0002	0.0001
4.0	-57.0	0.0129	-0.0043	0.0002	0.0001
4.0	-56.0	0.0130	-0.0042	0.0002	0.0001
4.0	-55.0	0.0131	-0.0044	0.0001	0.0003
4.0	-54.0	0.0132	-0.0047	0.0001	0.0005
4.0	-53.0	0.0132	-0.0047	0.0001	0.0004
4.0	-52.0	0.0132	-0.0047	0.0001	0.0004
4.0	-51.0	0.0131	-0.0049	0.0004	0.0001
3.0	-78.0	0.0132	0.0068	0.0006	0.0035
3.0	-77.0	0.0135	0.0044	0.0005	0.0012
3.0	-76.0	0.0135	0.0022	0.0004	0.0016
3.0	-75.0	0.0131	0.0008	0.0021	0.0025
3.0	-74.0	0.0133	-0.0013	0.0017	0.0017
3.0	-73.0	0.0144	-0.0011	0.0018	0.0013
3.0	-72.0	0.0128	-0.0023	0.0015	0.0021
3.0	-71.0	0.0122	-0.0031	0.0009	0.0018
3.0	-70.0	0.0123	-0.0030	0.0009	0.0018
3.0	-69.0	0.0118	-0.0044	0.0002	0.0003
3.0	-68.0	0.0119	-0.0044	0.0002	0.0003
3.0	-67.0	0.0119	-0.0041	0.0002	0.0004
3.0	-66.0	0.0119	-0.0040	0.0002	0.0004
3.0	-65.0	0.0120	-0.0040	0.0002	0.0004
3.0	-64.0	0.0121	-0.0040	0.0002	0.0004
3.0	-63.0	0.0122	-0.0040	0.0002	0.0004
3.0	-62.0	0.0122	-0.0041	0.0002	0.0003
3.0	-61.0	0.0124	-0.0040	0.0002	0.0004
3.0	-60.0	0.0125	-0.0039	0.0002	0.0004
3.0	-59.0	0.0127	-0.0041	0.0002	0.0000
3.0	-58.0	0.0128	-0.0041	0.0002	0.0000
3.0	-57.0	0.0129	-0.0042	0.0002	0.0001
3.0	-56.0	0.0130	-0.0042	0.0002	0.0001
3.0	-55.0	0.0131	-0.0046	0.0001	0.0004
3.0	-54.0	0.0132	-0.0047	0.0001	0.0005
3.0	-53.0	0.0132	-0.0047	0.0001	0.0005
3.0	-52.0	0.0132	-0.0050	0.0002	0.0002
3.0	-51.0	0.0131	-0.0048	0.0004	0.0001
2.0	-79.0	0.0131	0.0130	0.0027	0.0036
2.0	-78.0	0.0115	0.0071	0.0008	0.0058
2.0	-77.0	0.0112	-0.0002	0.0015	0.0029
2.0	-76.0	0.0120	-0.0001	0.0020	0.0029
2.0	-75.0	0.0122	-0.0001	0.0020	0.0029
2.0	-74.0	0.0115	-0.0025	0.0019	0.0016
2.0	-73.0	0.0125	-0.0018	0.0022	0.0018
2.0	-72.0	0.0141	-0.0015	0.0019	0.0018
2.0	-71.0	0.0142	-0.0015	0.0019	0.0018
2.0	-70.0	0.0116	-0.0042	0.0003	0.0005
2.0	-69.0	0.0121	-0.0033	0.0008	0.0015
2.0	-68.0	0.0117	-0.0039	0.0002	0.0005
2.0	-67.0	0.0119	-0.0039	0.0003	0.0004
2.0	-66.0	0.0120	-0.0040	0.0003	0.0003
2.0	-65.0	0.0120	-0.0039	0.0002	0.0004
2.0	-64.0	0.0121	-0.0039	0.0002	0.0004
2.0	-63.0	0.0122	-0.0039	0.0002	0.0004
2.0	-62.0	0.0123	-0.0040	0.0002	0.0003
2.0	-61.0	0.0125	-0.0040	0.0002	0.0003
2.0	-60.0	0.0125	-0.0039	0.0002	0.0004
2.0	-59.0	0.0125	-0.0039	0.0002	0.0004
2.0	-58.0	0.0128	-0.0041	0.0002	0.0000
2.0	-57.0	0.0128	-0.0041	0.0002	0.0000
2.0	-56.0	0.0130	-0.0042	0.0002	0.0001
2.0	-55.0	0.0130	-0.0044	0.0002	0.0004
2.0	-54.0	0.0130	-0.0046	0.0004	0.0004
2.0	-53.0	0.0128	-0.0045	0.0005	0.0003
2.0	-52.0	0.0128	-0.0045	0.0005	0.0003
2.0	-51.0	0.0129	-0.0045	0.0005	0.0003
2.0	-50.0	0.0132	-0.0046	0.0005	0.0003
1.0	-80.0	0.0141	0.0116	0.0028	0.0041
1.0	-79.0	0.0128	0.0129	0.0027	0.0036
1.0	-78.0	0.0104	0.0018	0.0006	0.0043
1.0	-77.0	0.0108	-0.0003	0.0007	0.0021
1.0	-76.0	0.0113	-0.0001	0.0015	0.0029
1.0	-75.0	0.0112	-0.0031	0.0020	0.0023
1.0	-74.0	0.0113	-0.0031	0.0020	0.0023
1.0	-73.0	0.0114	-0.0031	0.0020	0.0023
1.0	-72.0	0.0121	-0.0025	0.0022	0.0023
1.0	-71.0	0.0115	-0.0041	0.0003	0.0005
1.0	-70.0	0.0116	-0.0041	0.0003	0.0005
1.0	-69.0	0.0121	-0.0037	0.0004	0.0011
1.0	-68.0	0.0118	-0.0039	0.0003	0.0004
1.0	-67.0	0.0119	-0.0039	0.0003	0.0004
1.0	-66.0	0.0119	-0.0038	0.0003	0.0004
1.0	-65.0	0.0120	-0.0038	0.0003	0.0004
1.0	-64.0	0.0121	-0.0038	0.0002	0.0004
1.0	-63.0	0.0122	-0.0038	0.0002	0.0004
